11/13/2013 10:25:00 AM	36	[160.94, 103.31, 36.39, 5.08, 1023.0, 64.72, 2.28]	[2181.94136, 912.43441, 126.29321, 0.1875, 0.0, 4.92284, 0.4784]
11/13/2013 12:09:00 PM	36	[177.11, 107.97, 43.14, 6.81, 1022.14, 54.5, 2.0]	[2317.09877, 714.47145, 183.1196, 0.3233, 0.1196, 18.30556, 0.0]
11/13/2013 1:09:00 PM	36	[185.19, 114.89, 46.67, 7.81, 1021.19, 53.67, 2.0]	[2507.8233, 2719.76543, 218.61111, 0.3233, 0.3233, 4.88889, 0.0]
11/13/2013 2:14:00 PM	36	[200.25, 114.33, 50.53, 8.0, 1020.03, 50.08, 2.0]	[3370.1875, 903.83333, 261.19367, 0.0, 0.02701, 0.24306, 0.0]
11/13/2013 3:09:00 PM	36	[218.11, 119.25, 52.58, 8.86, 1019.11, 46.64, 2.0]	[3035.70988, 851.07639, 224.24306, 0.1196, 0.15432, 2.73071, 0.0]
11/13/2013 4:09:00 PM	36	[230.81, 125.06, 54.14, 8.94, 1019.08, 50.08, 2.0]	[2619.15664, 984.66358, 174.06404, 0.05247, 0.13194, 0.24306, 0.0]
11/13/2013 5:10:00 PM	36	[241.58, 129.72, 54.67, 8.89, 1018.14, 50.17, 2.06]	[2540.29861, 844.20062, 190.22222, 0.15432, 0.34182, 0.47222, 0.10802]
11/14/2013 8:10:00 AM	36	[65.03, 56.94, 20.47, 4.17, 1018.97, 42.39, 6.89]	[7201.9159, 1871.49691, 153.80478, 0.47222, 0.02701, 18.90432, 1.37654]
11/14/2013 9:08:00 AM	36	[63.39, 64.08, 20.86, 6.94, 1019.92, 32.36, 3.94]	[6673.84877, 1374.46528, 147.84182, 0.27469, 0.13194, 35.50849, 0.10802]
11/14/2013 10:08:00 AM	36	[56.33, 60.03, 19.31, 9.72, 1019.97, 23.22, 10.42]	[5195.33333, 1361.58256, 145.71219, 1.14506, 0.02701, 26.2284, 3.74306]
11/14/2013 11:11:00 AM	36	[49.44, 57.89, 13.81, 10.47, 1020.0, 19.58, 11.06]	[4925.46914, 1437.37654, 122.15664, 0.24923, 0.0, 0.40972, 3.8858]
11/14/2013 12:09:00 PM	36	[44.36, 52.53, 12.03, 12.03, 1019.83, 15.22, 12.89]	[4258.6196, 892.52701, 183.86034, 0.4159, 0.13889, 1.95062, 0.4321]
